tank,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,slope_size_spectra,CTMI_scaled,CPTI_scaled,ln_gpp_corr,sample_date
44,2,23.95479167,200,11,none,2.302395422,0.006976328,3.8e-05,0.000215,0.27,0.79,0,2.2,3.26e-06,163,2.212187604,3e-04,4.905274778,526.9728134,297.1047917,39.04658693,-0.084611866,2260,4.37,2.5,10.23,1.98,74.62,8.2,560.3,114.6,4.76e-06,782.608,335.233,75.159,0,0,0,0,0,0,1.245395587,-1.348489692,NA,NA,0.090207818,6/27/18
45,2,23.258125,100,12,low,1.872580885,0.004935845,2.06e-05,0.0001434,0.61,0.3,0,5.66,6.58e-06,328.5,2.516535374,1e-04,3.80666249,728.4258715,296.408125,39.13836058,-0.176385517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.935803411,NA,NA,NA,-0.643954489,6/27/18
46,2,24.01173611,200,12,low,2.10986904,0.007518797,8.43e-05,0.0001176,0.18,0.82,0,1.39,2.39e-06,119.5,2.077367905,3e-04,4.905274778,628.7643424,297.1617361,39.03910452,-0.077129456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.929170824,NA,NA,NA,0.032501135,6/27/18
47,2,22.41569444,0,12,low,2.018420275,0.006804957,0.00067885,0.000228,0,1.02,2.39,9.59,1.3e-05,650,2.812913357,0.0016,6.579251212,651.2290465,295.5656944,39.24991395,-0.287938893,6963,6.97,3.8,17.53,3.56,105,0.8,2722.7,363.2,1.93e-05,4808.1,837.54,210.936,279.18,68.244,0,0,0,0,0.575731753,-1.796992021,NA,NA,-0.794493082,6/27/18
48,2,25.19076389,300,12,low,2.119527942,0.013666797,2.94e-05,0.0001134,0.2,0.37,0,7.77,8.34e-06,417,2.620136055,4e-04,5.192956851,612.4776977,298.3407639,38.88482393,0.077151133,13926,8.49,1.43,19.78,4.88,109.81,0.8,4050.7,503,3.49e-05,3373.285,579.46,45.529,45.529,95.197,0,0,0,0,1.349290655,-1.975368143,NA,NA,-0.500608113,6/27/18
1,4,23.75208333,100,1,high,2.361066929,0.002954619,0.000520215,0.0001112,0.25,0.33,0,14.37,1.5e-05,747.5,2.873611197,0.00013,4.069026754,791.9802909,296.9020833,39.07324578,-0.111270719,4148,6.7,2.82,13.68,2.97,220.16,33.84,1341.52,288.09,1.72e-05,3386.292,3516.24,504.504,252.252,0,0,0,0,0,13.47309145,-1.329536094,0.540987597,NA,-0.512544268,7/11/18
2,4,24.33923611,200,1,high,2.433548018,0.010277858,0.000240369,0.0001384,0,0.01,4.81,12.44,1.73e-05,863,2.936010796,0.00027,4.799914263,723.8862701,297.4892361,38.99612714,-0.03415208,1873,5.09,2.54,8.33,1.3,81.51,8.57,303.09,62.61,7.52e-06,7505.19,1272.81,0,0,0,0,0,0,0,0.400407117,NA,0.59465704,NA,-0.502462778,7/11/18
3,4,22.783125,0,1,high,2.100364182,0.004942861,0.000167216,5.76e-05,0.02,0.25,0,11.16,1.14e-05,571.5,2.757016235,0.00036,5.087596335,950.8663393,295.933125,39.20118126,-0.239206201,3126,5.55,0.88,19.42,3.56,235.14,0.36,3832.44,641.95,9.75e-06,3401.328,2134.5856,266.5264,66.4832,0,66.4832,0,0,6648.32,0.658264662,-1.878868926,0.478021868,NA,-0.656652053,7/11/18
4,4,25.27055556,300,1,high,2.295896169,0.004420354,2e-04,0.0001292,0.75,0.62,0,10.66,1.2e-05,601.5,2.779235632,0.00072,5.780743516,735.2352736,298.4205556,38.87442691,0.087548155,8218,6.72,2.48,14.89,2.41,70.2,0.8,664.5,111.8,1.73e-05,3244.422,2108.022,215.916,0,0,0,0,0,0,0.326032053,-1.477945436,0.688036083,NA,-0.483339463,7/11/18
5,4,24.60527778,200,2,none,2.417686724,0.007348932,0.00029686,0.0002154,0.07,0.92,0,8.92,9.92e-06,495.5,2.695043659,0.00138,6.431331082,757.9332805,297.7552778,38.96128445,0.00069061,10903,4.29,2.47,25.23,6.82,42,0.8,1239.6,123.6,4.51e-06,3670.59,996.303,66.738,33.369,0,0,0,0,0,0.462528657,-2.483793362,0.664724426,NA,-0.277356935,7/11/18
